Simulationsschritt	Durchschnittsdichte
1755	1.00104
1756	1.00105
1757	1.00105
1758	1.00105
1759	1.00105
1760	1.00105
1761	1.00104
1762	1.00104
1763	1.00104
1764	1.00104
1765	1.00104
1766	1.00104
1767	1.00104
1768	1.00104
1769	1.00104
1770	1.00104
1771	1.00104
1772	1.00104
1773	1.00104
1774	1.00104
1775	1.00104
1776	1.00104
1777	1.00104
1778	1.00104
1779	1.00103
1780	1.00103
1781	1.00103
1782	1.00103
1783	1.00103
1784	1.00102
1785	1.00102
1786	1.00102
1787	1.00102
1788	1.00102
1789	1.00101
1790	1.00101
1791	1.00101
1792	1.00101
1793	1.001
1794	1.001
1795	1.001
1796	1.001
1797	1.001
1798	1.001
1799	1.001
1800	1.001
1801	1.001
1802	1.00099
1803	1.00099
1804	1.00099
1805	1.00099
1806	1.00099
1807	1.00099
1808	1.00099
1809	1.00098
1810	1.00098
1811	1.00098
1812	1.00098
1813	1.00098
1814	1.00097
1815	1.00097
1816	1.00097
1817	1.00097
1818	1.00097
1819	1.00096
1820	1.00096
1821	1.00096
1822	1.00096
1823	1.00096
1824	1.00096
1825	1.00096
1826	1.00095
1827	1.00096
1828	1.00095
1829	1.00095
1830	1.00095
1831	1.00095
1832	1.00095
1833	1.00095
1834	1.00094
1835	1.00094
1836	1.00094
1837	1.00094
1838	1.00094
1839	1.00094
1840	1.00094
1841	1.00093
1842	1.00093
1843	1.00093
1844	1.00093
1845	1.00093
1846	1.00093
1847	1.00093
1848	1.00093
1849	1.00093
1850	1.00093
1851	1.00093
1852	1.00093
1853	1.00093
1854	1.00093
1855	1.00093
1856	1.00093
1857	1.00094
1858	1.00094
1859	1.00094
1860	1.00094
1861	1.00094
1862	1.00094
1863	1.00094
1864	1.00094
1865	1.00094
1866	1.00095
1867	1.00095
1868	1.00095
1869	1.00095
1870	1.00095
1871	1.00095
1872	1.00095
1873	1.00096
